Index,Experiment,Citation,Laboratory,Device,Container,Duration_h,T_C,P_Gpa,fO2,Phases,Type,SiO2_Bulk,TiO2_Bulk,Al2O3_Bulk,Fe2O3_Bulk,FeO_Bulk,MgO_Bulk,CaO_Bulk,Na2O_Bulk,K2O_Bulk
3293,KYB13,"Liu, T.C., Chen, B.R., and Chen, C.H. (1998) Anhydrous melting experiment of a Wannienta basalt in the Kuanyinshan area, northern Taiwan, at atmospheric pressure. Terrestrial Atmospheric and Oceanic Sciences 9 165-182. ","Dept. Earth Sci, National Taiwan Normal University, Taipei, Taiwan, Roc",1-atm,Pt,6,1139,1.00E-04,,liq+spn+ol+plag,Bulk,50.47000122,0.839999974,16.37000084,,8.119999886,7.989999771,8.859999657,2.369999886,1.600000024
3294,KYB7,"Liu, T.C., Chen, B.R., and Chen, C.H. (1998) Anhydrous melting experiment of a Wannienta basalt in the Kuanyinshan area, northern Taiwan, at atmospheric pressure. Terrestrial Atmospheric and Oceanic Sciences 9 165-182. ","Dept. Earth Sci, National Taiwan Normal University, Taipei, Taiwan, Roc",1-atm,Pt,6,1134,1.00E-04,,liq+spn+ol+plag+cpx,Bulk,50.47000122,0.839999974,16.37000084,,8.119999886,7.989999771,8.859999657,2.369999886,1.600000024
3295,KYB8,"Liu, T.C., Chen, B.R., and Chen, C.H. (1998) Anhydrous melting experiment of a Wannienta basalt in the Kuanyinshan area, northern Taiwan, at atmospheric pressure. Terrestrial Atmospheric and Oceanic Sciences 9 165-182. ","Dept. Earth Sci, National Taiwan Normal University, Taipei, Taiwan, Roc",1-atm,Pt,17.29999924,1112,1.00E-04,,liq+spn+ol+plag+cpx,Bulk,50.47000122,0.839999974,16.37000084,,8.119999886,7.989999771,8.859999657,2.369999886,1.600000024
3326,CSPVBK17,"Parman, S.W., Dann, J.C., Grove, T.L., and deWit, M.J. (1997) Emplacement conditions of komatiite magmas from the 3.49 Ga Komati Formation, Barberton Greenstone Belt, South Africa. Earth and Planetary Science Letters 150 303-323. ",Massachusetts Institute of Technology,CSPV,AuPd,5.900000095,1125,0.100000001,NNO,liq+ol+spn+cpx+cpx,Bulk,49.09999847,0.409999996,4.650000095,,11.39999962,23.20000076,10.19999981,0.280000001,0.029999999
3330,CSPVBK1,"Parman, S.W., Dann, J.C., Grove, T.L., and deWit, M.J. (1997) Emplacement conditions of komatiite magmas from the 3.49 Ga Komati Formation, Barberton Greenstone Belt, South Africa. Earth and Planetary Science Letters 150 303-323. ",Massachusetts Institute of Technology,CSPV,AuPd,6.199999809,1120,0.200000003,NNO,liq+ol+spn+cpx,Bulk,49.09999847,0.409999996,4.650000095,,11.39999962,23.20000076,10.19999981,0.280000001,0.029999999
3563,11R4-10,"Thy, P., Lesher, C.E., and Fram, M.S. (2004) Low Pressure experimental constraints on the evolution of basaltic lavas from site 917, southeast Greenland continental margin. Proceedings of the Ocean Drilling Program, Scientific Results 152 359-372. ",Univeridty of California at Davis,1-atm,FePt,,1148,1.00E-04,QFM,liq+ol+plag+cpx,Bulk,48.52500153,1.139999986,15.49499989,,11.11499977,10.27000046,10.74499989,2.210000038,0.115000002
3564,11R4-11,"Thy, P., Lesher, C.E., and Fram, M.S. (2004) Low Pressure experimental constraints on the evolution of basaltic lavas from site 917, southeast Greenland continental margin. Proceedings of the Ocean Drilling Program, Scientific Results 152 359-372. ",Univeridty of California at Davis,1-atm,FePt,,1136,1.00E-04,QFM,liq+ol+plag+cpx,Bulk,48.52500153,1.139999986,15.49499989,,11.11499977,10.27000046,10.74499989,2.210000038,0.115000002
3565,11R4-12,"Thy, P., Lesher, C.E., and Fram, M.S. (2004) Low Pressure experimental constraints on the evolution of basaltic lavas from site 917, southeast Greenland continental margin. Proceedings of the Ocean Drilling Program, Scientific Results 152 359-372. ",Univeridty of California at Davis,1-atm,FePt,,1130,1.00E-04,QFM,liq+ol+plag+cpx,Bulk,48.52500153,1.139999986,15.49499989,,11.11499977,10.27000046,10.74499989,2.210000038,0.115000002
3566,11R4-13,"Thy, P., Lesher, C.E., and Fram, M.S. (2004) Low Pressure experimental constraints on the evolution of basaltic lavas from site 917, southeast Greenland continental margin. Proceedings of the Ocean Drilling Program, Scientific Results 152 359-372. ",Univeridty of California at Davis,1-atm,FePt,,1120,1.00E-04,QFM,liq+ol+plag+cpx,Bulk,48.52500153,1.139999986,15.49499989,,11.11499977,10.27000046,10.74499989,2.210000038,0.115000002
3575,86R7-10,"Thy, P., Lesher, C.E., and Fram, M.S. (2004) Low Pressure experimental constraints on the evolution of basaltic lavas from site 917, southeast Greenland continental margin. Proceedings of the Ocean Drilling Program, Scientific Results 152 359-372. ",Univeridty of California at Davis,1-atm,FePt,,1148,1.00E-04,QFM,liq+ol+plag+cpx,Bulk,49.75,1.024999976,16.54000092,,9.645000458,8.920000076,11.02999973,2.585000038,0.330000013
3576,86R7-11,"Thy, P., Lesher, C.E., and Fram, M.S. (2004) Low Pressure experimental constraints on the evolution of basaltic lavas from site 917, southeast Greenland continental margin. Proceedings of the Ocean Drilling Program, Scientific Results 152 359-372. ",Univeridty of California at Davis,1-atm,FePt,,1136,1.00E-04,QFM,liq+ol+plag+cpx,Bulk,49.75,1.024999976,16.54000092,,9.645000458,8.920000076,11.02999973,2.585000038,0.330000013
3577,86R7-12,"Thy, P., Lesher, C.E., and Fram, M.S. (2004) Low Pressure experimental constraints on the evolution of basaltic lavas from site 917, southeast Greenland continental margin. Proceedings of the Ocean Drilling Program, Scientific Results 152 359-372. ",Univeridty of California at Davis,1-atm,FePt,,1130,1.00E-04,QFM,liq+ol+plag+cpx,Bulk,49.75,1.024999976,16.54000092,,9.645000458,8.920000076,11.02999973,2.585000038,0.330000013
3578,86R7-13,"Thy, P., Lesher, C.E., and Fram, M.S. (2004) Low Pressure experimental constraints on the evolution of basaltic lavas from site 917, southeast Greenland continental margin. Proceedings of the Ocean Drilling Program, Scientific Results 152 359-372. ",Univeridty of California at Davis,1-atm,FePt,,1120,1.00E-04,QFM,liq+ol+plag+cpx,Bulk,49.75,1.024999976,16.54000092,,9.645000458,8.920000076,11.02999973,2.585000038,0.330000013
3579,86R7-8,"Thy, P., Lesher, C.E., and Fram, M.S. (2004) Low Pressure experimental constraints on the evolution of basaltic lavas from site 917, southeast Greenland continental margin. Proceedings of the Ocean Drilling Program, Scientific Results 152 359-372. ",Univeridty of California at Davis,1-atm,FePt,,1111,1.00E-04,QFM,liq+ol+plag+cpx,Bulk,49.75,1.024999976,16.54000092,,9.645000458,8.920000076,11.02999973,2.585000038,0.330000013
3618,PEM22-5,"Moore, G., and Carmichael, I.S.E. (1998) The hydrous phase equilibria (to 3 kbar) of an andesite and basaltic andesite from western Mexico: constraints on water content and conditions of phenocryst growth. Contributions to Mineralogy and Petrology 130 304-319. ",University of California at Berkeley,IHPV,AgPd,48,1125,0.076899998,NNO+2.0,liq+ol,Bulk,55.25,0.74000001,17.40999985,1.960000038,4.21999979,6.679999828,7.28000021,3.970000029,1.179999948
3619,PEM22-9,"Moore, G., and Carmichael, I.S.E. (1998) The hydrous phase equilibria (to 3 kbar) of an andesite and basaltic andesite from western Mexico: constraints on water content and conditions of phenocryst growth. Contributions to Mineralogy and Petrology 130 304-319. ",University of California at Berkeley,IHPV,AgPd,48,1125,0.0517,NNO+2.1,liq+ol+ox+plag,Bulk,55.25,0.74000001,17.40999985,1.960000038,4.21999979,6.679999828,7.28000021,3.970000029,1.179999948
3620,PEM22-10,"Moore, G., and Carmichael, I.S.E. (1998) The hydrous phase equilibria (to 3 kbar) of an andesite and basaltic andesite from western Mexico: constraints on water content and conditions of phenocryst growth. Contributions to Mineralogy and Petrology 130 304-319. ",University of California at Berkeley,IHPV,AgPd,48,1120,0.157199994,NNO+2.8,liq+ox,Bulk,55.25,0.74000001,17.40999985,1.960000038,4.21999979,6.679999828,7.28000021,3.970000029,1.179999948
3906,SV25,"Villiger, S., Ulmer, P., Muntener, O., and Thompson, A.B. (2004) The liquid line of descent of anhydrous, mantle-derived, tholeiitic liquids by fractional and equilibrium crystallization - an experimental study at 1.0 GPa. Journal of Geology 45 2369-2388. 10.1093/petrology/egh042",Eidgen,PC,C,114.4000015,1120,1,CCO,liq+cpx+opx+plag+spn,Bulk,49.06999969,0.600000024,15.27999973,,7.5,13.03999996,12.31000042,1.570000052,0.079999998
3915,SV61,"Villiger, S., Ulmer, P., Muntener, O., and Thompson, A.B. (2004) The liquid line of descent of anhydrous, mantle-derived, tholeiitic liquids by fractional and equilibrium crystallization - an experimental study at 1.0 GPa. Journal of Geology 45 2369-2388. 10.1093/petrology/egh042",Eidgen,PC,C,84.80000305,1120,1,CCO,liq+cpx+plag+spn,Bulk,56.77000046,1.370000005,16.28000069,,9.890000343,3.809999943,7.260000229,3.920000076,0.550000012
3999,910,"Baker, R.B., and Eggler, D.H. (1987) Compositions of anhydrous and hydrous melts coexisting with plagioclase, augite, and olivine or low-Ca pyrxene from 1 atm to 8 kbar: Application to the Aleutian volcanic center of Atka. American Mineralogist 72 12-28. ",Pennsylvania State University,MA,C,96,1125,0.800000012,,plag+cpx+liq,Bulk,60.09999847,0.810000002,16,,8.800000191,1.870000005,5.809999943,4.25,2.059999943
4000,911,"Baker, R.B., and Eggler, D.H. (1987) Compositions of anhydrous and hydrous melts coexisting with plagioclase, augite, and olivine or low-Ca pyrxene from 1 atm to 8 kbar: Application to the Aleutian volcanic center of Atka. American Mineralogist 72 12-28. ",Pennsylvania State University,MA,C,96,1125,0.800000012,,plag+cpx+liq,Bulk,57.40000153,0.879999995,15.89999962,,9.859999657,2.410000086,6.289999962,3.880000114,1.879999995
4006,989,"Baker, R.B., and Eggler, D.H. (1987) Compositions of anhydrous and hydrous melts coexisting with plagioclase, augite, and olivine or low-Ca pyrxene from 1 atm to 8 kbar: Application to the Aleutian volcanic center of Atka. American Mineralogist 72 12-28. ",Pennsylvania State University,MA,C,24,1125,0.800000012,,plag+cpx+liq,Bulk,56.79999924,1.00999999,16.89999962,,8.029999733,3.089999914,7.050000191,3.99000001,2.049999952
4007,1008,"Baker, R.B., and Eggler, D.H. (1987) Compositions of anhydrous and hydrous melts coexisting with plagioclase, augite, and olivine or low-Ca pyrxene from 1 atm to 8 kbar: Application to the Aleutian volcanic center of Atka. American Mineralogist 72 12-28. ",Pennsylvania State University,MA,C,96,1125,0.800000012,,plag+cpx+liq,Bulk,54.70000076,0.790000021,18.70000076,,7.900000095,3.289999962,7.960000038,4.099999905,0.99000001
4008,1010,"Baker, R.B., and Eggler, D.H. (1987) Compositions of anhydrous and hydrous melts coexisting with plagioclase, augite, and olivine or low-Ca pyrxene from 1 atm to 8 kbar: Application to the Aleutian volcanic center of Atka. American Mineralogist 72 12-28. ",Pennsylvania State University,MA,C,96,1125,0.800000012,,plag+cpx+liq,Bulk,56.79999924,1.00999999,16.89999962,,8.029999733,3.089999914,7.050000191,3.99000001,2.049999952
4011,1086,"Baker, R.B., and Eggler, D.H. (1987) Compositions of anhydrous and hydrous melts coexisting with plagioclase, augite, and olivine or low-Ca pyrxene from 1 atm to 8 kbar: Application to the Aleutian volcanic center of Atka. American Mineralogist 72 12-28. ",Pennsylvania State University,1-atm,Pt,192,1106,1.00E-04,-8.7,ol+plag+cpx+liq,Bulk,56.79999924,1.00999999,16.89999962,,8.029999733,3.089999914,7.050000191,3.99000001,2.049999952
4022,1234,"Baker, R.B., and Eggler, D.H. (1987) Compositions of anhydrous and hydrous melts coexisting with plagioclase, augite, and olivine or low-Ca pyrxene from 1 atm to 8 kbar: Application to the Aleutian volcanic center of Atka. American Mineralogist 72 12-28. ",Pennsylvania State University,IHPV,no_info,35,1120,0.200000003,-8.8,ol+plag+cpx+liq,Bulk,49.54000092,1.269999981,19.36000061,,8.920000076,4.960000038,9.430000305,3.359999895,0.779999971
4028,1304,"Baker, R.B., and Eggler, D.H. (1987) Compositions of anhydrous and hydrous melts coexisting with plagioclase, augite, and olivine or low-Ca pyrxene from 1 atm to 8 kbar: Application to the Aleutian volcanic center of Atka. American Mineralogist 72 12-28. ",Pennsylvania State University,1-atm,Pt,96,1122,1.00E-04,-8.5,ol+plag+cpx+liq,Bulk,49,1.019999981,19,,9.470000267,6.179999828,11.39999962,2.559999943,0.649999976
4033,TJ-26,"Auwera, J. V., and Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78. ",Lamont-Doherty Earth Observatory,1-atm,Pt,26.5,1148,1.00E-04,NNO,liq+plag+ilm+spn,Bulk,49.54000092,3.460000038,16.04000092,,13.06000042,4.539999962,6.820000172,3.650000095,0.939999998
4034,TJ-38,"Auwera, J. V., and Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78. ",Lamont-Doherty Earth Observatory,1-atm,Pt,22,1133,1.00E-04,NNO,liq+plag+opx+ilm+spn,Bulk,49.54000092,3.460000038,16.04000092,,13.06000042,4.539999962,6.820000172,3.650000095,0.939999998
4035,TJ-29,"Auwera, J. V., and Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78. ",Lamont-Doherty Earth Observatory,1-atm,Pt,52,1118,1.00E-04,NNO,liq+plag+opx+ilm+spn,Bulk,49.54000092,3.460000038,16.04000092,,13.06000042,4.539999962,6.820000172,3.650000095,0.939999998
4036,TJ-32,"Auwera, J. V., and Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78. ",Lamont-Doherty Earth Observatory,1-atm,Pt,46,1105,1.00E-04,NNO,liq+plag+opx+ilm+spn,Bulk,49.54000092,3.460000038,16.04000092,,13.06000042,4.539999962,6.820000172,3.650000095,0.939999998
4041,TJ-45,"Auwera, J. V., and Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78. ",Lamont-Doherty Earth Observatory,1-atm,Pt,92.5,1124,1.00E-04,QFM-1,liq+plag+ol+ilm,Bulk,49.54000092,3.460000038,16.04000092,,13.06000042,4.539999962,6.820000172,3.650000095,0.939999998
4046,TJ-27,"Auwera, J. V., and Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78. ",Lamont-Doherty Earth Observatory,1-atm,Pt,23,1140,1.00E-04,MW,liq+plag,Bulk,49.54000092,3.460000038,16.04000092,,13.06000042,4.539999962,6.820000172,3.650000095,0.939999998
4047,TJ-30,"Auwera, J. V., and Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78. ",Lamont-Doherty Earth Observatory,1-atm,Pt,52,1110,1.00E-04,MW,liq+plag+ol+ilm+spn,Bulk,49.54000092,3.460000038,16.04000092,,13.06000042,4.539999962,6.820000172,3.650000095,0.939999998
4048,TJ-49,"Auwera, J. V., and Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78. ",Lamont-Doherty Earth Observatory,1-atm,Pt,48,1125,1.00E-04,MW-2.5,liq+plag+ol+ilm,Bulk,49.54000092,3.460000038,16.04000092,,13.06000042,4.539999962,6.820000172,3.650000095,0.939999998
4054,TJ-40,"Auwera, J. V., and Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78. ",Lamont-Doherty Earth Observatory,PC,C,48,1135,0.5,QFM-2<->QFM-4,liq+plag+ol,Bulk,49.54000092,3.460000038,16.04000092,,13.06000042,4.539999962,6.820000172,3.650000095,0.939999998
4055,TJ-23,"Auwera, J. V., and Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78. ",Lamont-Doherty Earth Observatory,PC,C,47,1130,0.5,QFM-2<->QFM-4,liq+plag+ol,Bulk,49.54000092,3.460000038,16.04000092,,13.06000042,4.539999962,6.820000172,3.650000095,0.939999998
4056,TJ-51,"Auwera, J. V., and Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78. ",Lamont-Doherty Earth Observatory,PC,C,54.5,1110,0.5,QFM-2<->QFM-4,liq+plag+ol+ilm,Bulk,49.54000092,3.460000038,16.04000092,,13.06000042,4.539999962,6.820000172,3.650000095,0.939999998
4060,TJ-9,"Auwera, J. V., and Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78. ",Lamont-Doherty Earth Observatory,PC,C,73,1145,0.699999988,QFM-2<->QFM-4,liq+plag+opx+ilm,Bulk,49.54000092,3.460000038,16.04000092,,13.06000042,4.539999962,6.820000172,3.650000095,0.939999998
4061,TJ-3,"Auwera, J. V., and Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78. ",Lamont-Doherty Earth Observatory,PC,C,90,1120,0.699999988,QFM-2<->QFM-4,liq+plag+opx+ol+ilm,Bulk,49.54000092,3.460000038,16.04000092,,13.06000042,4.539999962,6.820000172,3.650000095,0.939999998
4067,TJ-7,"Auwera, J. V., and Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78. ",Lamont-Doherty Earth Observatory,PC,C,70,1130,1,QFM-2<->QFM-4,liq+plag+opx+ilm,Bulk,49.54000092,3.460000038,16.04000092,,13.06000042,4.539999962,6.820000172,3.650000095,0.939999998
4073,TJ-13,"Auwera, J. V., and Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78. ",Lamont-Doherty Earth Observatory,PC,C,93,1130,1.299999952,QFM-2<->QFM-4,liq+plag+opx+cpx+ilm,Bulk,49.54000092,3.460000038,16.04000092,,13.06000042,4.539999962,6.820000172,3.650000095,0.939999998
4087,82-94A-18,"Baker, M.B., Grove, T.L., Price, R. (1994) Primative basalts and andesites from the Mt. Shasta region, N California: products of varying melt fraction and water content. Contributions to Mineralogy and Petrology 118 111-129. ",Massachusetts Institute of Technology,1-atm,FePt,231.3000031,1140,1.00E-04,-9.24,liq+ol+plag+cpx+opx,Bulk,52.86000061,0.720000029,15.40999985,,7.119999886,10.23999977,9.680000305,3.029999971,0.579999983
4141,33 A,"Baker, L.L., Rutherford, M.J. (1996) The effect of dissolved water on the oxidation state of silicic melts. Geochimica et Cosmochimica Acta 60 2179-2187. ",Brown University,CSPV,AgPd,24,1133,0.200000003,MMO,liq,Bulk,71.69000244,0.07,11.52999973,0.319999993,0.689999998,0.039999999,0.340000004,4.130000114,4.340000153
4150,46*,"Baker, L.L., Rutherford, M.J. (1996) The effect of dissolved water on the oxidation state of silicic melts. Geochimica et Cosmochimica Acta 60 2179-2187. ",Brown University,CSPV,AgPd,24,1133,0.200000003,MMO,liq,Bulk,75.22000122,0.079999998,12.10000038,0.330000013,0.720000029,0.039999999,0.360000014,4.329999924,4.559999943
4177,33 B,"Baker, L.L., Rutherford, M.J. (1996) The effect of dissolved water on the oxidation state of silicic melts. Geochimica et Cosmochimica Acta 60 2179-2187. ",Brown University,CSPV,AgPd,24,1133,0.200000003,MMO,liq,Bulk,68.97000122,0.170000002,9.739999771,1.360000014,1.940000057,0.920000017,0.140000001,5.260000229,4.059999943
4297,5F,"Bender, J.F., Hodges, F.N., Bence, A.E. (1978) Petrogenesis of basalts from the Project FAMOUS area: experimental study from 0 to 15 kbars. Earth and Planetary Science Letters 41 277-302. ",State University of New York at Stony Brook,1-atm,Mo,240,1135,1.00E-04,,liq+ol+plag+cpx,Bulk,48.20000076,0.730000019,16.29999924,,8.920000076,10.69999981,12,1.950000048,0.090000004
4411,Apollo 17-2,"Chen, H.K., Delano, J.W., Lindsley, D.H. (1982) Chemistry and phase relations of VLT volcanic glasses from Apollo 14 and Apollo 17. Proceedings of the Lunar and Planetary Science Conference 13 A171-A181. ",State University of New York at Stony Brook,1-atm,Fe,21,1125,1.00E-04,,ol+plag+cpx+liq,Bulk,45.09999847,0.629999995,9.840000153,,19.29999924,15.10000038,9.359999657,0.140000001,
4506,500B-42,"Fram, M.S., Longhi, J. (1992) Phase equilibria of dikes associated with Proterozoic anorthosite complexes. American Mineralogist 77 605-616. ",Lamont-Doherty Earth Observatory,1-atm,Pt,3.25,1130,1.00E-04,QFM-1,liq+plag+cpx+ilm,Bulk,55.84999847,0.519999981,22.92000008,,3.5,1.399999976,9.550000191,4.670000076,0.899999976
4510,500B-46,"Fram, M.S., Longhi, J. (1992) Phase equilibria of dikes associated with Proterozoic anorthosite complexes. American Mineralogist 77 605-616. ",Lamont-Doherty Earth Observatory,1-atm,Pt,60,1125,1.00E-04,QFM-1,liq+plag+cpx+ilm,Bulk,55.84999847,0.519999981,22.92000008,,3.5,1.399999976,9.550000191,4.670000076,0.899999976
4578,B326,"Gaetani, G.A., Grove, T.L. (1998) The influence of water on melting of mantle peridotite. Contributions to Mineralogy and Petrology 131 323-346. ",Massachusetts Institute of Technology,PC,AuPd,28,1115,1.200000048,,liq+cpx+opx+ol+spn,Bulk,41.88999939,0.540000021,16.72999954,,6.869999886,9.210000038,10.31999969,2.059999943,0.07
4661,33,"Grove, T.L., Bence, A.E. (1977) Experimental study of pyroxene-liquid interaction in quartz-normative basalt 15597. Proceedings of the Lunar and Planetary Science Conference 8 1549-1579. ",State University of New York at Stony Brook,1-atm,Fe,68,1145,1.00E-04,,liq+ol+cpx+spn,Bulk,48.09000015,1.799999952,9.460000038,,20.27000046,8.760000229,10.44999981,0.319999993,0.059999999
4662,14,"Grove, T.L., Bence, A.E. (1977) Experimental study of pyroxene-liquid interaction in quartz-normative basalt 15597. Proceedings of the Lunar and Planetary Science Conference 8 1549-1579. ",State University of New York at Stony Brook,1-atm,Fe,73,1138,1.00E-04,,liq+ol+cpx+spn+plag,Bulk,48.09000015,1.799999952,9.460000038,,20.27000046,8.760000229,10.44999981,0.319999993,0.059999999
4663,74,"Grove, T.L., Bence, A.E. (1977) Experimental study of pyroxene-liquid interaction in quartz-normative basalt 15597. Proceedings of the Lunar and Planetary Science Conference 8 1549-1579. ",State University of New York at Stony Brook,1-atm,Fe,119.5999985,1139,1.00E-04,,liq+ol+cpx+spn+plag,Bulk,48.09000015,1.799999952,9.460000038,,20.27000046,8.760000229,10.44999981,0.319999993,0.059999999
4664,15,"Grove, T.L., Bence, A.E. (1977) Experimental study of pyroxene-liquid interaction in quartz-normative basalt 15597. Proceedings of the Lunar and Planetary Science Conference 8 1549-1579. ",State University of New York at Stony Brook,1-atm,Fe,119,1123,1.00E-04,,liq+cpx+spn+plag,Bulk,48.09000015,1.799999952,9.460000038,,20.27000046,8.760000229,10.44999981,0.319999993,0.059999999
4677,ALV-528-1-1-16,"Grove, T.L., Bryan, W.B. (1983) Fractionation of pyroxene-phyric MORB at low pressure: an experimental study. Contributions to Mineralogy and Petrology 84 293-309. ",Massachusetts Institute of Technology,1-atm,FePt,742.2000122,1131,1.00E-04,-9.4,ol+plag+cpx,Bulk,49.59999847,0.670000017,16,,9.569999695,10.39999962,11.89999962,1.74000001,0.100000001
4693,ALV-525-4b-16,"Grove, T.L., Bryan, W.B. (1983) Fractionation of pyroxene-phyric MORB at low pressure: an experimental study. Contributions to Mineralogy and Petrology 84 293-309. ",Massachusetts Institute of Technology,1-atm,FePt,742.2000122,1131,1.00E-04,-9.4,ol+plag+cpx,Bulk,48.79999924,0.75,15.39999962,,9.25,10.30000019,12,1.830000043,0.119999997
4707,AII-32-12-6-6,"Grove, T.L., Bryan, W.B. (1983) Fractionation of pyroxene-phyric MORB at low pressure: an experimental study. Contributions to Mineralogy and Petrology 84 293-309. ",Massachusetts Institute of Technology,1-atm,FePt,311.3999939,1137,1.00E-04,-9.12,liq+ol+plag+cpx,Bulk,50.29999924,1.139999986,14.80000019,,8.430000305,9.409999847,12,2.190000057,0.389999986
4720,II-96-6-42-6,"Grove, T.L., Bryan, W.B. (1983) Fractionation of pyroxene-phyric MORB at low pressure: an experimental study. Contributions to Mineralogy and Petrology 84 293-309. ",Massachusetts Institute of Technology,1-atm,FePt,311.3999939,1137,1.00E-04,-9.12,liq+ol+plag+cpx,Bulk,51,1.309999943,16.20000076,,8.989999771,7.239999771,11.5,2.440000057,0.209999993
4722,147,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305. ",Massachusetts Institute of Technology,1-atm,FePt,112.4000015,1144,1.00E-04,-9.03,ol+plag+liq,Bulk,53.81999969,0.930000007,17.28000069,8.319999695,,5.679999828,8.579999924,3.660000086,0.970000029
4723,146,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305. ",Massachusetts Institute of Technology,1-atm,FePt,117.5999985,1135,1.00E-04,-9.08,ol+plag+cpx+plag,Bulk,53.81999969,0.930000007,17.28000069,8.319999695,,5.679999828,8.579999924,3.660000086,0.970000029
4724,127,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305. ",Massachusetts Institute of Technology,1-atm,FePt,257.8999939,1125,1.00E-04,-9.53,ol+plag+cpx+liq,Bulk,53.81999969,0.930000007,17.28000069,8.319999695,,5.679999828,8.579999924,3.660000086,0.970000029
4725,128,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305. ",Massachusetts Institute of Technology,1-atm,FePt,364.2999878,1121,1.00E-04,-9.6,ol+plag+cpx+liq,Bulk,53.81999969,0.930000007,17.28000069,8.319999695,,5.679999828,8.579999924,3.660000086,0.970000029
