Expt,Phase,Spectrum Label,Na,Mg,Al,Si,P,K,Ca,Ti,Mn,Fe
SpG22,Glass,Site1 G7,3.46,1.38,16.14,63.34,0.38,4.16,6.55,4.58,0,0
SpG22,Glass,Site1 G8,3.43,1.31,16.01,63.47,0.42,4.17,6.51,4.67,0,0
SpG22,Glass,Site1 G9,3.48,1.4,16.06,63.46,0.36,4.19,6.52,4.54,0,0
SpG22,Glass,Site1 G10,3.47,1.31,16.09,63.4,0.39,4.1,6.55,4.58,0.09,0.02
SpG22,Glass,Site1 G11,3.48,1.39,16.1,63.27,0.39,4.14,6.5,4.67,0,0.05
SpG22,Glass,Site1 G12,3.42,1.33,16.06,63.44,0.33,4.16,6.56,4.69,0.01,0
SpG22,Glass,Site1 G13,3.47,1.38,16.1,63.38,0.41,4.1,6.56,4.58,0.01,0.01
SpG22,Glass,Site1 G14,3.39,1.37,16.2,63.34,0.36,4.15,6.51,4.64,0.01,0.02
SpG22,Glass,Site1 G15,3.54,1.29,16.12,63.45,0.33,4.11,6.49,4.66,0,0.01
SpG21,Glass,Site1 G1,2.7,0.91,15.01,66.4,0.22,5.38,5.08,4.27,0,0.03
SpG21,Glass,Site1 G2,2.73,0.96,14.86,66.25,0.26,5.28,5.02,4.13,0.02,0.04
SpG21,Glass,Site1 G3,2.7,1,15.01,66.46,0.21,5.36,4.96,4.3,0,0
SpG21,Glass,Site1 G4,2.71,0.99,14.95,66.46,0.3,5.25,5.07,4.26,0,0.02
SpG21,Glass,Site1 G5,2.68,1.02,14.98,66.47,0.32,5.24,4.97,4.31,0,0
SpG21,Glass,Site1 G6,2.73,0.97,14.9,66.51,0.28,5.28,5.01,4.3,0,0.01
SpG21,Glass,Site1 G7,2.79,0.93,15.05,66.42,0.28,5.22,5.09,4.22,0,0
SpG21,Glass,Site1 G8,2.69,0.99,15.06,66.26,0.29,5.3,5.03,4.32,0.05,0
SpG21,Glass,Site1 G9,2.73,0.95,14.84,66.49,0.29,5.28,5.07,4.3,0,0.04
SpG21,Glass,Site1 G10,2.69,0.93,14.92,66.42,0.17,5.25,5.02,4.1,0,0.03
SpG21,Glass,Site1 G11,2.73,0.93,14.91,66.49,0.24,5.2,5.07,4.29,0.06,0.06
SpG21,Glass,Site1 G12,2.73,0.94,14.93,66.42,0.28,5.26,5.04,4.37,0,0.03
SpG21,Glass,Site1 G13,2.71,0.98,14.85,66.46,0.34,5.29,5.06,4.31,0,0
