"","DF_Model","Expt","Source","TC","Pkb","Titanite","Rutile","SiO2","Al2O3","Na2O","K2O","CaO","FeO","MgO","TiO2","Si","Al","Na","K","Ca","Fe","Mg","Ti","eCa","CationSum","lnTiO2","Al2O3m","Na2Om","K2Om","CaOm","M","FM","C","A_CNK","A_NK","A_C","TK","InvTK","PInvTK"
"26","N","HL220-40000","LEPR",1150,0.001,"Y","N",57.22,8.68,11.4,1.05,8.54,0,0,7.64,0.540892205069676,0.0967037072975599,0.208938162675841,0.0126626191258413,0.0864932072529417,0,0,0.0543100985781403,0.262233968326622,1.76064789087934,2.03339760317843,0.0851305891468307,0.183933267719712,0.0111472068284604,0.152284082925281,7.54378222181748,7.54378222181748,50.1343167424283,0.245075633985303,0.436387031270057,0.559024866627725,1423.15,0.000702666619822225,0
"27","N","HL220-50","LEPR",1150,0.001,"Y","N",59.31,9,12.16,1.14,8.97,0,0,8.86,0.533258508258033,0.0953702471677067,0.211979320201705,0.0130763367559055,0.0864099142070141,0,0,0.0599056734096365,0.279980905871938,1.85108137323024,2.18154676461699,0.088269044046253,0.196195485567692,0.0121026816994713,0.159951782651027,7.82341700698094,7.82341700698094,55.0525845688251,0.239698726546637,0.423762941385072,0.55184782928511,1423.15,0.000702666619822225,0
"28","N","HL220-5000","LEPR",1150,0.001,"Y","N",59.64,9.36,11.91,1.11,8.59,0,0,8.08,0.539926679586445,0.0998696507758123,0.209054232839451,0.0128201028007203,0.083320444561301,0,0,0.05500888943627,0.265321921459938,1.83839244645354,2.089391872533,0.0917998058081031,0.192161861275593,0.011784190075801,0.153175675916647,7.20509519230984,7.20509519230984,49.2044990487225,0.257054664554761,0.450118083678581,0.599310597186838,1423.15,0.000702666619822225,0
"29","N","HL220-60000","LEPR",1150,0.001,"Y","N",55.51,7.3,10.13,1.03,9.38,0,0,7.11,0.552529233339113,0.0856381787833921,0.195498544987588,0.0130795449225039,0.100034114759103,0,0,0.0532203832083003,0.270044178182351,1.67205803323217,1.96150224381515,0.0715960023930719,0.163442456315849,0.0109348790793469,0.167262845180227,8.63624408306241,8.63624408306241,57.0705601669315,0.209565520871939,0.410580894763715,0.428044867441581,1423.15,0.000702666619822225,0
"30","N","HL220-75000","LEPR",1150,0.001,"Y","N",54.98,7.98,10.73,0.98,8.94,0,0,7.21,0.54199515277175,0.0927158720991631,0.205088089636822,0.0123250337853902,0.0944255335118373,0,0,0.0534503181950378,0.264678822125313,1.68828092283135,1.97546895129686,0.0782652190543443,0.173123154616886,0.010404059706563,0.159416826856207,8.08460961040628,8.08460961040628,52.6707743224131,0.228215713517366,0.426450209811441,0.490947038639396,1423.15,0.000702666619822225,0
"31","N","HL220-without","LEPR",1150,0.001,"Y","N",59.82,9.41,11.98,1.14,8.62,0,0,8.47,0.537960316682137,0.0997364680673894,0.208886657535587,0.0130791662134177,0.0830562577305296,0,0,0.0572811337709389,0.266814400102181,1.8506809229254,2.13653050866396,0.0922901893861378,0.193291276077381,0.0121026816994713,0.153710631711466,7.23294525229964,7.23294525229964,49.728463392017,0.257000862945362,0.449332543104337,0.600415133023315,1423.15,0.000702666619822225,0
"32","N","HL22REE-200","LEPR",1150,0.001,"Y","N",59.88,9.28,11.84,0,8.67,0,0,8.48,0.547149865575327,0.0999385423443328,0.209761731026198,0,0.084879900961259,0,0,0.0582699600928836,0.25461947909339,1.82142324569153,2.13771044980381,0.0910151920832475,0.191032446473806,0,0.154602224702832,6.9406015666547,6.9406015666547,46.564218419069,0.263327726276436,0.476438394436452,0.588705578190689,1423.15,0.000702666619822225,0
"33","N","HL22REE-2000","LEPR",1150,0.001,"Y","N",58.66,8.87,11.74,0,8.63,0,0,8.14,0.546975948590295,0.0974788328665065,0.212248348224155,0,0.086218056457925,0,0,0.0570788138611192,0.256313900323343,1.78488076201113,2.09679018001445,0.0869940467433627,0.189418996756966,0,0.153888950309739,7.21482984441888,7.21482984441888,48.0721569078203,0.253399455173286,0.459267804353226,0.56530404923983,1423.15,0.000702666619822225,0
"34","N","HL22REE-8000","LEPR",1150,0.001,"Y","N",54.32,8.26,11.14,0,8.59,0,0,7.5,0.540509357560979,0.0968688251321288,0.214920923171721,0,0.0915794184051712,0,0,0.0561214757300001,0.251902607281237,1.67259935238896,2.01490302054226,0.0810113670913388,0.179738298455929,0,0.153175675916647,7.60296248021042,7.60296248021042,48.1111140117427,0.243340242007012,0.45071844891868,0.528878796235393,1423.15,0.000702666619822225,0
"35","N","HL240-100","LEPR",1150,0.001,"Y","N",62.55,15.75,10.65,1.48,5.69,0,0,3.88,0.555190321682268,0.164761470782067,0.183279643395517,0.0167589831301675,0.0541113165423529,0,0,0.0258982644676277,0.134537103614303,1.87508434281052,1.35583515363518,0.154470827080943,0.171832394843415,0.0157122534344013,0.10146328241743,3.36993405064664,3.36993405064664,14.7076920115826,0.534486464469481,0.823648280553013,1.52243080847153,1423.15,0.000702666619822225,0
