"","Source","Expt","M","TK","TiO2","TiO2sat","TiO2satSD"
"54","Crystallization","SpG_15",1.30177606010419,1073.15,0.32,0.484711797253512,0.0842552402823523
"55","Crystallization","SpG_16",1.36996708795558,1073.15,0.33,0.551377905206611,0.0958435056724348
"56","Crystallization","SpG_17",1.72900032070277,1173.15,2.04,1.37848891531718,0.23961643897407
"57","Crystallization","SpG_18",1.96896159042172,1173.15,2.36,1.61308405804635,0.280395042325004
"58","Crystallization","SpG_19",1.9632033054563,1273.15,3.19,2.08356119026316,0.362175935727824
"59","Crystallization","SpG_20",2.17761164244649,1273.15,3.64,2.29317482698649,0.398612117864619
"60","Crystallization","SpG_23",1.43045124414007,1173.15,1.67,1.08661613388908,0.188881525009843
"61","Crystallization","SpG_29",1.77902697184074,1273.15,1.66,1.90350349460885,0.33087732798194
"62","Crystallization","SpG_30",1.77707622717997,1273.15,1.32,1.90159637341943,0.330545821806574
"63","Crystallization","SpG_32",1.56195339723825,1173.15,1.02,1.21517757387226,0.211228773577352
"64","Crystallization","SpG_33",1.83384877507872,1273.15,2.21,1.95709934684928,0.340193650452823
"65","Crystallization","SpG_34",1.99601679937908,1273.15,2.49,2.11564089337222,0.36775220415982
"66","Crystallization","SpG_7",1.49587748230045,1173.15,0.8,1.15057927968108,0.199999946819373
"67","Crystallization","SpG_8",1.58558948626506,1173.15,1.13,1.23828510153828,0.215245449686461
