DF_Model,Expt,Type,SM,TC,Pkb,H2O,TimeH,Titanite,Rutile,SiO2,Al2O3,Na2O,K2O,CaO,FeO,MgO,TiO2,MnO,P2O5
Y,SpG_19,Crystallization,GSP,1000,5,3.8,96,Y,Y,67.47,15.2,2.82,5.44,4.6,0.03,0.96,3.19,0.02,0.27
Y,SpG_20,Crystallization,GSP + AGV,1000,5,3.7,96,Y,Y,64.22,16.45,3.55,4.26,6.05,0.03,1.39,3.64,0.05,0.36
Y,SpG_23,Crystallization,PST,900,5,1.5,100,Y,N,72.47,14.8,2.47,5.01,2.72,0.02,0.69,1.67,0.03,0.12
Y,SpG_28,Crystallization,GSP + AGV,900,5,5.9,145,Y,Y,63.62,16.09,3.37,4.23,6.58,0.02,1.34,4.35,0.02,0.38
Y,SpG_29,Crystallization,GSP,1000,5,0,168,Y,N,66.21,15.81,3.14,5.29,3.61,3.19,0.82,1.66,0.04,0.23
Y,SpG_30,Crystallization,GSP + AGV,1000,5,1.8,168,Y,N,65.52,16.62,3.66,4.81,3.78,3.31,0.51,1.32,0.06,0.41
Y,SpG_32,Crystallization,GSP(1),900,5,2.4,120,Y,Y,69.56,16,2.9,5.95,2.75,0.69,0.88,1.02,0.04,0.21
Y,SpG_33,Crystallization,GSP,1000,10,3.5,96,Y,Y,68.29,15.62,2.98,5.53,4.06,0.04,1,2.21,0.03,0.24
Y,SpG_34,Crystallization,GSP + AGV,1000,10,4,96,Y,N,65.51,16.78,3.57,4.44,5.34,0.06,1.41,2.49,0.06,0.34
Y,SpG_7,Crystallization,PST,900,5,4,120,Y,N,73.94,13.49,2.5,6.99,1.28,0.62,0.29,0.8,0.08,0.01
Y,SpG_8,Crystallization,PST + GSP,900,5,3.8,120,Y,N,71.32,14.36,2.73,6,2.34,1.29,0.62,1.13,0.09,0.12
N,SpG13,Crystallization,PST,1100,5,3.9,48,N,N,70.574,12.574,3.968,5.212,3.407,0.022,0.311,3.629,0.02,0.048
N,SpG14,Crystallization,PST + GSP,1100,5,3.9,48,N,N,69.8,13.877,2.41,4.622,4.357,0.015,0.628,4.115,0.037,0.137
N,SpG21,Crystallization,GSP,1100,5,3.8,72,N,N,66.416,14.94,2.718,5.275,5.041,0.019,0.963,4.281,0.011,0.271
N,SpG22,Crystallization,GSP + AGV,1100,5,3.8,72,N,N,63.361,16.103,3.453,4.141,6.525,0.015,1.362,4.601,0.011,0.37
N,SpG24,Crystallization,PST + GSP,900,5,1.8,100,N,N,73.275,13.422,2.437,6.651,1.922,0.319,0.213,1.73,0.023,0.01
N,SpG27,Crystallization,GSP,900,5,5.6,145,N,Y,65.774,15.091,3.117,5.109,5.031,0.027,0.941,4.463,0.013,0.274
N,SpG31,Crystallization,PST(3),900,5,3.5,120,N,N,68.418,17.771,2.594,5.986,2.098,0.803,0.319,1.926,0.059,0.023
